,Answer_ID
0,1
1,2
2,1
3,3
4,2
5,1
6,1
7,3
8,1
9,3
10,2
11,1
12,4
13,1
14,4
15,2
16,1
17,1
18,4
19,1
20,1
21,1
22,3
23,2
24,1
25,2
26,1
27,1
28,1
29,2
30,3
31,2
32,3
33,3
34,2
35,4
36,1
37,2
38,1
39,2
40,1
41,4
42,2
43,2
44,3
45,2
46,3
47,3
48,1
49,2
50,1
51,1
52,4
53,3
54,1
55,2
56,2
57,1
58,2
59,1
60,1
61,2
62,1
63,2
64,1
65,2
66,4
67,1
68,3
69,4
70,2
71,1
72,2
73,3
74,1
75,3
76,2
77,2
78,3
79,1
80,2
81,1
82,2
83,1
84,4
85,1
86,1
87,2
88,2
89,3
90,1
91,1
92,2
93,1
94,4
95,2
96,1
97,1
98,1
99,4
100,1
101,1
102,1
103,1
104,3
105,1
106,1
107,2
108,4
109,3
110,2
111,3
112,1
113,1
114,1
115,1
116,1
117,4
118,1
119,1
120,2
121,2
122,3
123,1
124,3
125,1
126,1
127,1
128,2
129,4
130,1
131,4
132,2
133,1
134,1
135,3
136,3
137,2
138,4
139,2
140,2
141,4
142,1
143,2
144,1
145,1
146,3
147,2
148,1
149,2
150,3
151,1
152,3
153,1
154,1
155,2
156,2
157,1
158,1
159,3
160,4
161,1
162,4
163,3
164,2
165,2
166,1
167,3
168,2
169,4
170,1
171,1
172,1
173,3
174,1
175,3
176,1
177,3
178,3
179,1
180,1
181,4
182,1
183,4
184,3
185,1
186,2
187,1
188,3
189,4
190,3
191,1
192,1
193,4
194,1
195,2
196,2
197,4
198,3
199,3
200,4
201,1
202,4
203,1
204,1
205,1
206,2
207,1
208,4
209,2
210,1
211,4
212,1
213,1
214,1
215,1
216,1
217,3
218,1
219,4
220,2
221,2
222,3
223,1
224,1
225,1
226,1
227,3
228,2
229,2
230,4
231,1
232,2
233,2
234,2
235,1
236,1
237,4
238,2
239,1
240,1
241,1
242,1
243,1
244,1
245,2
246,3
247,1
248,1
249,3
250,2
251,3
252,1
253,1
254,2
255,2
256,2
257,3
258,3
259,4
260,1
261,1
262,3
263,1
264,1
265,3
266,3
267,1
268,3
269,3
270,3
271,3
272,2
273,2
274,1
275,2
276,4
277,4
278,3
279,1
280,1
281,4
282,4
283,1
284,3
285,1
286,3
287,4
288,3
289,1
290,3
291,2
292,2
293,4
294,1
295,1
296,1
297,1
298,2
299,2
300,1
301,4
302,2
303,3
304,1
305,1
306,3
307,1
308,3
309,1
310,1
311,1
312,1
313,4
314,1
315,3
316,2
317,3
318,3
319,2
320,2
321,1
322,1
323,1
324,1
325,2
326,3
327,1
328,1
329,1
330,1
331,4
332,2
333,3
334,1
335,1
336,1
337,3
338,3
339,1
340,3
341,3
342,1
343,1
344,2
345,3
346,4
347,1
348,1
349,1
350,2
351,1
352,1
353,2
354,4
355,1
356,1
357,1
358,1
359,3
360,1
361,3
362,4
363,2
364,1
365,2
366,3
367,1
368,2
369,4
370,4
371,1
372,1
373,1
374,1
375,2
376,1
377,2
378,4
379,1
380,1
381,1
382,1
383,4
384,1
385,3
386,3
387,3
388,1
389,1
390,3
391,2
392,2
393,4
394,2
395,4
396,2
397,1
398,3
399,4
400,1
401,1
402,1
403,2
404,1
405,3
406,3
407,4
408,4
409,1
410,1
411,3
412,1
413,3
414,3
415,1
416,3
417,1
418,3
419,3
420,3
421,2
422,1
423,2
424,1
425,2
426,4
427,3
428,1
429,1
430,2
431,1
432,4
433,3
434,1
435,3
436,1
437,1
438,1
439,2
440,2
441,2
442,2
443,1
444,1
445,3
446,1
447,1
448,1
449,3
450,2
451,3
452,4
453,4
454,1
455,1
456,1
457,1
458,1
459,2
460,3
461,2
462,1
463,1
464,2
465,1
466,2
467,1
468,1
469,3
470,4
471,2
472,1
473,1
474,1
475,2
476,3
477,1
478,2
479,1
480,1
481,2
482,3
483,3
484,3
485,1
486,3
487,2
488,3
489,4
490,1
491,1
492,1
493,4
494,3
495,2
496,1
497,1
498,4
499,3
500,1
501,3
502,2
503,2
504,1
505,1
506,2
507,2
508,2
509,4
510,3
511,1
512,2
513,4
514,3
515,1
516,2
517,4
518,3
519,3
520,2
521,1
522,1
523,3
524,1
525,2
526,1
527,3
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,4
538,2
539,3
540,2
541,1
542,1
543,2
544,4
545,2
546,4
547,3
548,1
549,3
550,2
551,3
552,4
553,4
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,2
562,2
563,1
564,1
565,3
566,4
567,3
568,2
569,1
570,1
571,1
572,2
573,1
574,3
575,2
576,3
577,1
578,4
579,2
580,1
581,4
582,2
583,1
584,1
585,1
586,1
587,2
588,1
589,1
590,4
591,1
592,1
593,3
594,1
595,1
596,2
597,4
598,1
599,1
600,1
601,3
602,1
603,1
604,3
605,4
606,4
607,3
608,3
609,4
610,1
611,3
612,1
613,1
614,3
615,1
616,2
617,1
618,1
619,1
620,1
621,1
622,1
623,2
624,1
625,1
626,2
627,2
628,1
629,1
630,1
631,2
632,1
633,2
634,2
635,1
636,3
637,1
638,1
639,2
640,2
641,4
642,4
643,4
644,1
645,1
646,3
647,1
648,4
649,2
650,2
651,2
652,4
653,3
654,1
655,4
656,1
657,3
658,4
659,1
660,1
661,1
662,4
663,1
664,1
665,1
666,1
667,4
668,4
669,1
670,3
671,2
672,2
673,1
674,3
675,2
676,3
677,1
678,4
679,2
680,1
681,2
682,1
683,1
684,2
685,2
686,1
687,1
688,1
689,1
690,3
691,4
692,2
693,2
694,1
695,3
696,1
697,4
698,4
699,1
700,1
701,3
702,1
703,1
704,4
705,1
706,2
707,2
708,2
709,2
710,2
711,1
712,2
713,1
714,2
715,1
716,3
717,1
718,1
719,1
720,1
721,4
722,1
723,3
724,1
725,4
726,1
727,1
728,3
729,2
730,4
731,4
732,1
733,1
734,1
735,2
736,2
737,1
738,1
739,1
740,3
741,1
742,4
743,1
744,1
745,2
746,1
747,2
748,3
749,1
750,4
751,4
752,2
753,2
754,1
755,1
756,2
757,1
758,2
759,2
760,1
761,1
762,1
763,1
764,4
765,1
766,3
767,1
768,1
769,2
770,3
771,2
772,1
773,2
774,1
775,4
776,3
777,1
778,4
779,1
780,3
781,4
782,1
783,3
784,2
785,1
786,1
787,1
788,1
789,3
790,1
791,3
792,1
793,1
794,1
795,2
796,3
797,2
798,1
799,2
800,2
801,1
802,1
803,3
804,1
805,4
806,2
807,4
808,1
809,2
810,2
811,4
812,3
813,1
814,2
815,4
816,1
817,1
818,1
819,1
820,4
821,1
822,1
823,3
824,1
825,1
826,1
827,2
828,1
829,3
830,1
831,2
832,1
833,4
834,3
835,1
836,1
837,3
838,1
839,1
840,1
841,3
842,1
843,1
844,1
845,2
846,1
847,1
848,4
849,1
850,4
851,4
852,1
853,1
854,4
855,1
856,1
857,1
858,2
859,1
860,1
861,2
862,2
863,1
864,2
865,2
866,1
867,1
868,4
869,3
870,3
871,3
872,4
873,1
874,2
875,4
876,2
877,2
878,2
879,3
880,4
881,2
882,4
883,4
884,1
885,1
886,3
887,1
888,4
889,1
890,2
891,3
892,1
893,2
894,4
895,1
896,2
897,1
898,1
899,2
900,2
901,2
902,2
903,1
904,1
905,4
906,1
907,2
908,1
909,2
910,1
911,1
912,1
913,4
914,2
915,2
916,3
917,3
918,2
919,1
920,3
921,1
922,2
923,4
924,1
925,1
926,1
927,1
928,1
929,1
930,1
931,1
932,2
933,2
934,4
935,2
936,3
937,1
938,2
939,2
940,2
941,4
942,1
943,1
944,3
945,1
946,2
947,1
948,1
949,3
950,2
951,2
952,1
953,1
954,1
955,3
956,1
957,1
958,2
959,4
960,3
961,3
962,3
