,Answer_ID
0,4
1,1
2,3
3,1
4,1
5,4
6,1
7,2
8,1
9,4
10,3
11,3
12,1
13,4
14,2
15,2
16,1
17,3
18,2
19,1
20,3
21,2
22,4
23,4
24,2
25,1
26,3
27,3
28,1
29,1
30,1
31,2
32,1
33,1
34,1
35,1
36,3
37,4
38,1
39,4
40,4
41,1
42,1
43,3
44,2
45,2
46,1
47,3
48,1
49,2
50,2
51,3
52,3
53,3
54,2
55,2
56,3
57,1
58,2
59,2
60,2
61,4
62,1
63,2
64,1
65,2
66,2
67,1
68,3
69,1
70,3
71,3
72,1
73,1
74,4
75,2
76,2
77,4
78,2
79,1
80,1
81,1
82,4
83,1
84,1
85,3
86,1
87,4
88,3
89,2
90,4
91,1
92,2
93,2
94,4
95,1
96,4
97,1
98,1
99,1
100,2
101,1
102,2
103,2
104,3
105,3
106,1
107,2
108,4
109,2
110,1
111,1
112,2
113,1
114,2
115,4
116,2
117,1
118,1
119,4
120,2
121,2
122,2
123,4
124,2
125,1
126,4
127,1
128,4
129,3
130,4
131,1
132,3
133,2
134,1
135,3
136,1
137,1
138,2
139,1
140,1
141,2
142,3
143,4
144,1
145,1
146,3
147,1
148,3
149,1
150,3
151,2
152,4
153,1
154,4
155,4
156,4
157,4
158,1
159,2
160,4
161,2
162,3
163,2
164,2
165,3
166,3
167,1
168,3
169,2
170,2
171,4
172,1
173,1
174,3
175,2
176,3
177,1
178,4
179,4
180,1
181,2
182,2
183,1
184,3
185,4
186,2
187,1
188,3
189,3
190,1
191,1
192,2
193,2
194,1
195,4
196,1
197,3
198,4
199,3
200,2
201,1
202,3
203,2
204,3
205,4
206,1
207,4
208,4
209,3
210,2
211,4
212,4
213,2
214,1
215,1
216,3
217,2
218,1
219,2
220,1
221,1
222,3
223,2
224,1
225,3
226,2
227,2
228,3
229,1
230,4
231,4
232,3
233,1
234,2
235,1
236,2
237,2
238,1
239,4
240,4
241,1
242,4
243,1
244,1
245,2
246,4
247,3
248,1
249,2
250,4
251,2
252,4
253,2
254,3
255,3
256,2
257,3
258,3
259,1
260,3
261,3
262,3
263,2
264,3
265,4
266,1
267,2
268,1
269,1
270,1
271,2
272,1
273,1
274,3
275,2
276,2
277,2
278,2
279,1
280,1
281,4
282,4
283,3
284,3
285,4
286,3
287,4
288,2
289,3
290,4
291,1
292,3
293,3
294,2
295,2
296,3
297,2
298,2
299,1
300,1
301,3
302,3
303,3
304,2
305,1
306,3
307,1
308,1
309,1
310,2
311,4
312,1
313,4
314,2
315,4
316,2
317,2
318,2
319,3
320,2
321,3
322,4
323,2
324,2
325,2
326,1
327,1
328,2
329,1
330,4
331,4
332,3
333,1
334,3
335,2
336,3
337,3
338,1
339,2
340,2
341,2
342,1
343,4
344,3
345,2
346,1
347,3
348,3
349,2
350,4
351,4
352,1
353,4
354,1
355,1
356,3
357,2
358,1
359,4
360,2
361,1
362,4
363,1
364,2
365,1
366,4
367,1
368,3
369,1
370,3
371,1
372,4
373,4
374,1
375,4
376,1
377,1
378,3
379,4
380,4
381,3
382,4
383,1
384,2
385,4
386,1
387,2
388,1
389,4
390,1
391,1
392,3
393,2
394,1
395,1
396,3
397,2
398,4
399,1
400,3
401,1
402,2
403,1
404,3
405,4
406,1
407,1
408,2
409,4
410,4
411,4
412,1
413,3
414,4
415,2
416,4
417,3
418,1
419,4
420,2
421,2
422,3
423,1
424,3
425,2
426,4
427,1
428,2
429,1
430,3
431,3
432,2
433,1
434,2
435,4
436,1
437,4
438,4
439,1
440,2
441,2
442,2
443,2
444,4
445,2
446,1
447,1
448,1
449,2
450,1
451,2
452,1
453,4
454,4
455,4
456,1
457,1
458,1
459,2
460,3
461,4
462,4
463,2
464,3
465,2
466,2
467,4
468,1
469,2
470,1
471,4
472,1
473,2
474,2
475,1
476,2
477,3
478,1
479,3
480,4
481,2
482,2
483,2
484,3
485,1
486,1
487,1
488,2
489,3
490,1
491,1
492,1
493,1
494,1
495,4
496,1
497,4
498,2
499,2
500,1
501,4
502,4
503,1
504,3
505,1
506,3
507,1
508,2
509,2
510,1
511,1
512,2
513,4
514,1
515,1
516,3
517,3
518,3
519,2
520,1
521,1
522,1
523,3
524,2
525,4
526,3
527,1
528,1
529,3
530,1
531,2
532,3
