,Answer_ID
0,1
1,4
2,4
3,4
4,1
5,1
6,4
7,2
8,4
9,1
10,3
11,3
12,3
13,2
14,2
15,1
16,1
17,4
18,3
19,4
20,3
21,2
22,3
23,3
24,4
25,4
26,4
27,4
28,1
29,2
30,1
31,3
32,2
33,2
34,1
35,1
36,1
37,3
38,1
39,1
40,2
41,1
42,4
43,2
44,4
45,3
46,4
47,1
48,1
49,1
50,1
51,3
52,1
53,4
54,3
55,3
56,3
57,3
58,1
59,4
60,1
61,2
62,1
63,4
64,1
65,2
66,1
67,3
68,1
69,1
70,3
71,4
72,1
73,4
74,1
75,3
76,1
77,4
78,2
79,4
80,1
81,2
82,3
83,4
84,3
85,1
86,1
87,1
88,1
89,2
90,4
91,3
92,3
93,2
94,4
95,1
96,3
97,2
98,1
99,1
100,2
101,1
102,4
103,2
104,1
105,1
106,1
107,1
108,1
109,2
110,4
111,4
112,1
113,4
114,1
115,4
116,4
117,2
118,1
119,4
120,4
121,3
122,1
123,1
124,1
125,2
126,2
127,4
128,2
129,1
130,1
131,2
132,4
133,2
134,4
135,3
136,1
137,2
138,3
139,1
140,4
141,4
142,1
143,1
144,2
145,3
146,4
147,4
148,2
149,1
150,4
151,3
152,2
153,3
154,2
155,4
156,1
157,1
158,3
159,2
160,4
161,2
162,3
163,1
164,3
165,1
166,4
167,1
168,1
169,4
170,1
171,4
172,1
173,3
174,3
175,3
176,1
177,2
178,2
179,2
180,3
181,4
182,2
183,4
184,3
185,1
186,1
187,3
188,3
189,4
190,2
191,1
192,1
193,2
194,1
195,4
196,1
197,2
198,2
199,3
200,2
201,3
202,4
203,4
204,4
205,3
206,3
207,4
208,1
209,3
210,4
211,4
212,1
213,2
214,1
215,1
216,4
217,1
218,3
219,4
220,2
221,2
222,1
223,1
224,1
225,3
226,1
227,3
228,2
229,1
230,1
231,1
232,1
233,1
234,1
235,3
236,3
237,1
238,4
239,1
240,1
241,1
242,2
243,2
244,4
245,1
246,2
247,3
248,2
249,3
250,2
251,4
252,1
253,2
254,4
255,2
256,3
257,4
258,3
259,3
260,1
261,1
262,3
263,3
264,2
265,1
266,1
267,1
268,1
269,4
270,4
271,4
272,3
273,3
274,4
275,2
276,3
277,2
278,1
279,2
280,2
281,3
282,4
283,1
284,3
285,4
286,3
287,3
288,3
289,4
290,4
291,4
292,2
293,2
294,4
295,3
296,4
297,2
298,4
299,1
300,1
301,2
302,3
303,2
304,2
305,1
306,2
307,4
308,4
309,1
310,1
311,4
312,3
313,3
314,2
315,1
316,3
317,2
318,3
319,2
320,1
321,1
322,2
323,2
324,2
325,4
326,2
327,2
328,2
329,1
330,3
331,3
332,3
333,4
334,3
335,2
336,3
337,1
338,2
339,4
340,2
341,2
342,1
343,2
344,1
345,4
346,2
347,3
